blobHeight,blobWidth,offset
1,0.07,0
0.4188,0.17,0
0.2593,0.27,0
0.1892,0.37,0
1,0.07,0.01
0.4188,0.17,0.01
0.2593,0.27,0.01
0.1892,0.37,0.01
1,0.07,0.02
0.4188,0.17,0.02
0.2593,0.27,0.02
0.1892,0.37,0.02
1,0.07,0.04
0.4188,0.17,0.04
0.2593,0.27,0.04
0.1892,0.37,0.04
1,0.07,0.08
0.4188,0.17,0.08
0.2593,0.27,0.08
0.1892,0.37,0.08
1,0.07,0.16
0.4188,0.17,0.16
0.2593,0.27,0.16
0.1892,0.37,0.16
1,0.07,-0.01
0.4188,0.17,-0.01
0.2593,0.27,-0.01
0.1892,0.37,-0.01
1,0.07,-0.02
0.4188,0.17,-0.02
0.2593,0.27,-0.02
0.1892,0.37,-0.02
1,0.07,-0.04
0.4188,0.17,-0.04
0.2593,0.27,-0.04
0.1892,0.37,-0.04
1,0.07,-0.08
0.4188,0.17,-0.08
0.2593,0.27,-0.08
0.1892,0.37,-0.08
1,0.07,-0.16
0.4188,0.17,-0.16
0.2593,0.27,-0.16
0.1892,0.37,-0.16
